source,target,weight
1,2,138
1,3,258
1,4,166
1,5,267
1,7,186
1,8,186
1,10,189
1,12,163
1,13,234
1,14,167
1,15,239
1,16,386
1,17,77
1,22,335
1,23,224
1,24,398
1,25,294
1,26,264
1,28,119
1,29,16
1,30,308
1,31,20
1,32,277
1,33,292
1,34,130
1,35,130
1,39,120
1,40,95
1,41,163
1,43,259
1,44,157
1,45,40
1,46,328
1,48,372
1,50,61
1,52,290
1,54,251
1,55,11
1,59,16
1,60,143
1,61,283
1,62,128
1,63,81
1,64,1
1,65,154
1,67,137
1,68,351
1,70,276
1,71,396
1,72,99
1,74,377
1,75,278
1,76,19
1,78,77
1,79,75
1,80,232
1,81,162
1,82,27
1,85,48
1,86,260
1,91,285
1,92,202
1,93,332
1,94,242
1,95,387
1,96,260
1,98,376
1,99,104
1,100,400
1,101,173
1,102,32
1,103,126
1,106,270
1,108,326
1,111,129
1,113,393
1,114,398
1,116,137
1,117,221
1,119,269
1,123,251
1,126,309
1,134,168
1,136,356
1,137,300
1,139,102
1,141,85
1,142,176
1,144,119
1,148,110
1,153,37
1,155,40
1,156,333
1,159,166
1,160,350
1,161,223
1,164,331
1,172,24
1,174,216
1,176,381
1,179,350
1,182,400
1,185,145
1,186,295
1,193,266
1,194,386
1,195,71
1,200,109
2,1,138
2,3,179
2,4,20
2,5,121
2,6,17
2,8,296
2,9,58
2,10,390
2,11,116
2,14,71
2,15,29
2,16,352
2,18,53
2,19,246
2,20,6
2,25,392
2,26,147
2,27,327
2,32,183
2,33,228
2,37,168
2,38,333
2,40,223
2,42,200
2,43,214
2,44,306
2,45,366
2,47,238
2,48,244
2,49,231
2,50,241
2,51,255
2,53,399
2,54,352
2,60,335
2,63,86
2,64,65
2,65,119
2,67,116
2,68,311
2,70,26
2,71,226
2,72,14
2,73,50
2,77,60
2,78,1
2,80,157
2,81,233
2,83,307
2,84,37
2,86,26
2,87,77
2,89,36
2,91,238
2,92,257
2,95,49
2,96,151
2,97,35
2,99,17
2,100,361
2,101,83
2,102,130
2,104,243
2,105,103
2,106,52
2,107,302
2,109,299
2,111,227
2,112,270
2,113,312
2,116,103
2,118,16
2,119,283
2,120,95
2,121,158
2,125,204
2,127,281
2,131,149
2,132,399
2,133,60
2,138,24
2,139,270
2,144,292
2,146,49
2,147,400
2,151,116
2,154,34
2,155,321
2,156,34
2,159,357
2,161,246
2,162,233
2,168,156
2,169,370
2,178,319
2,179,262
2,180,35
2,181,16
2,184,99
2,186,136
2,187,357
2,191,161
2,194,73
2,197,117
2,199,237
3,1,258
3,2,179
3,4,27
3,5,344
3,6,165
3,7,240
3,8,36
3,9,89
3,10,72
3,11,187
3,12,94
3,15,121
3,16,29
3,17,12
3,18,399
3,19,162
3,20,260
3,21,73
3,24,253
3,25,56
3,26,287
3,30,40
3,31,23
3,32,328
3,33,82
3,34,148
3,36,210
3,38,349
3,39,32
3,40,240
3,41,91
3,42,46
3,44,9
3,49,262
3,50,353
3,51,205
3,52,346
3,54,312
3,55,86
3,56,393
3,58,325
3,59,79
3,60,363
3,62,209
3,64,272
3,65,118
3,66,258
3,68,85
3,69,286
3,70,92
3,71,249
3,72,239
3,74,257
3,75,127
3,76,232
3,78,126
3,79,113
3,81,196
3,82,137
3,83,97
3,84,168
3,85,395
3,86,299
3,87,311
3,88,290
3,89,72
3,92,272
3,94,317
3,95,249
3,96,144
3,100,132
3,103,193
3,104,72
3,109,115
3,110,101
3,111,331
3,113,41
3,114,139
3,117,222
3,119,376
3,121,132
3,122,216
3,124,355
3,126,309
3,127,64
3,129,347
3,130,312
3,135,168
3,136,37
3,139,285
3,147,140
3,149,46
3,156,71
3,157,104
3,158,225
3,159,227
3,165,158
3,166,314
3,167,3
3,170,260
3,173,363
3,179,95
3,185,149
3,187,366
3,188,227
3,189,13
3,192,241
3,193,289
3,196,385
3,198,361
4,1,166
4,2,20
4,3,27
4,5,62
4,7,141
4,9,301
4,10,337
4,11,148
4,12,301
4,13,177
4,14,35
4,16,116
4,18,54
4,21,378
4,22,52
4,25,87
4,26,329
4,33,83
4,34,97
4,36,56
4,40,133
4,41,385
4,42,93
4,44,39
4,45,186
4,47,379
4,49,221
4,50,362
4,51,351
4,54,300
4,55,105
4,57,152
4,58,23
4,59,110
4,60,55
4,61,364
4,63,365
4,64,36
4,65,13
4,66,210
4,67,248
4,68,185
4,69,226
4,70,3
4,71,52
4,74,381
4,75,166
4,76,134
4,78,219
4,80,204
4,82,122
4,83,359
4,84,36
4,85,150
4,86,141
4,88,296
4,92,292
4,94,168
4,96,208
4,97,393
4,98,285
4,99,375
4,102,327
4,103,170
4,104,329
4,107,15
4,108,349
4,110,389
4,111,16
4,116,123
4,117,352
4,118,242
4,119,46
4,120,109
4,122,348
4,123,260
4,124,71
4,125,166
4,128,370
4,129,92
4,131,27
4,133,256
4,135,48
4,136,337
4,137,24
4,143,248
4,146,87
4,147,327
4,151,329
4,153,266
4,155,360
4,156,348
4,161,4
4,165,274
4,168,256
4,170,395
4,171,299
4,172,241
4,175,217
4,176,59
4,177,14
4,178,26
4,180,101
4,181,17
4,182,7
4,183,20
4,185,211
4,188,288
4,192,107
5,1,267
5,2,121
5,3,344
5,4,62
5,6,340
5,8,171
5,11,266
5,12,84
5,13,105
5,14,393
5,16,196
5,17,45
5,18,282
5,19,212
5,20,254
5,21,315
5,23,367
5,24,358
5,25,85
5,26,168
5,32,246
5,33,394
5,35,332
5,36,294
5,37,88
5,39,241
5,41,141
5,44,216
5,45,199
5,46,77
5,47,33
5,48,273
5,49,262
5,52,269
5,54,372
5,55,346
5,56,257
5,57,230
5,58,200
5,59,71
5,60,44
5,61,63
5,63,370
5,64,358
5,65,266
5,66,354
5,69,296
5,70,278
5,71,116
5,73,177
5,74,125
5,75,219
5,77,158
5,78,25
5,80,162
5,82,162
5,83,391
5,84,201
5,85,128
5,86,63
5,88,374
5,89,311
5,92,205
5,93,307
5,96,61
5,97,267
5,99,238
5,102,359
5,104,239
5,106,258
5,107,117
5,108,191
5,109,396
5,111,14
5,112,298
5,115,19
5,117,286
5,119,55
5,126,289
5,127,249
5,128,248
5,132,366
5,133,313
5,138,182
5,139,122
5,140,362
5,142,85
5,143,270
5,145,387
5,146,331
5,148,80
5,150,78
5,152,219
5,153,355
5,159,321
5,160,259
5,161,400
5,162,10
5,163,147
5,164,216
5,167,367
5,169,383
5,170,298
5,176,276
5,177,184
5,179,254
5,180,105
5,183,351
5,184,369
5,185,272
5,186,18
5,187,153
5,188,355
5,189,317
5,190,85
5,191,136
5,192,329
5,193,294
5,195,309
5,199,59
6,2,17
6,3,165
6,5,340
6,7,266
6,10,155
6,11,400
6,12,26
6,13,363
6,14,97
6,15,228
6,16,217
6,17,153
6,19,383
6,21,239
6,22,398
6,24,385
6,25,53
6,27,60
6,28,312
6,30,16
6,31,42
6,34,67
6,36,269
6,39,370
6,40,162
6,41,371
6,43,245
6,44,213
6,45,122
6,47,182
6,48,217
6,50,51
6,51,306
6,52,217
6,56,168
6,58,68
6,60,340
6,61,368
6,64,339
6,65,346
6,66,244
6,67,18
6,68,275
6,70,310
6,71,156
6,74,206
6,75,287
6,78,336
6,79,399
6,82,198
6,84,374
6,85,89
6,86,249
6,87,237
6,88,67
6,96,227
6,97,378
6,98,249
6,100,12
6,101,215
6,103,304
6,104,297
6,105,63
6,106,389
6,107,108
6,108,132
6,110,355
6,112,323
6,113,206
6,114,216
6,116,331
6,117,232
6,118,374
6,124,332
6,125,292
