source,target,weight
1,2,375
1,3,298
1,4,64
1,5,179
1,6,278
1,7,18
1,8,200
1,9,178
1,10,128
1,12,241
1,13,102
1,14,188
1,15,249
1,16,57
1,17,305
1,18,109
1,19,246
1,21,123
1,22,385
1,24,204
1,25,340
1,27,272
1,29,141
1,30,252
1,32,363
1,34,237
1,35,320
1,37,172
1,38,320
1,39,273
1,41,247
1,43,235
1,44,24
1,45,41
1,46,191
1,48,170
1,49,117
1,50,375
1,51,112
1,52,354
1,53,273
1,54,76
1,57,264
1,58,110
1,59,133
1,60,300
1,63,148
1,64,238
1,65,186
1,66,257
1,68,176
1,71,17
1,74,93
1,75,215
1,76,41
1,78,394
1,79,351
1,82,64
1,83,268
1,84,381
1,85,47
1,86,360
1,87,246
1,89,95
1,90,294
1,91,11
1,92,105
1,93,158
1,97,299
1,99,180
1,101,264
1,102,180
1,103,209
1,104,399
1,105,46
1,106,243
1,107,103
1,108,394
1,112,334
1,113,62
1,114,90
1,115,156
1,117,1
1,118,307
1,119,262
1,121,192
1,123,158
1,124,242
1,125,70
1,126,53
1,127,64
1,129,379
1,131,342
1,133,49
1,134,187
1,137,48
1,138,183
1,139,154
1,140,259
1,141,191
1,142,378
1,143,335
1,144,180
1,145,345
1,146,206
1,147,41
1,148,43
1,149,159
1,151,400
1,152,250
1,153,374
1,154,353
1,155,191
1,157,399
1,158,241
1,159,16
1,160,150
1,161,190
1,163,189
1,164,362
1,166,190
1,167,185
1,168,379
1,169,398
1,172,148
1,173,175
1,174,60
1,176,169
1,179,37
1,181,71
1,182,287
1,183,362
1,184,140
1,185,314
1,186,281
1,187,244
1,188,366
1,189,195
1,190,294
1,194,159
1,197,115
1,200,17
2,1,384
2,3,162
2,4,306
2,6,60
2,8,234
2,9,69
2,10,126
2,11,142
2,12,263
2,13,393
2,14,88
2,15,303
2,16,10
2,18,332
2,19,163
2,21,305
2,22,243
2,26,147
2,28,326
2,30,368
2,32,275
2,33,123
2,34,176
2,35,49
2,36,103
2,37,134
2,38,257
2,40,244
2,44,83
2,45,68
2,47,168
2,48,287
2,49,277
2,50,382
2,51,256
2,52,380
2,53,381
2,54,251
2,55,342
2,58,332
2,59,276
2,60,353
2,61,313
2,62,315
2,63,322
2,64,15
2,66,101
2,67,77
2,68,153
2,69,53
2,70,192
2,71,211
2,73,366
2,74,66
2,75,283
2,76,144
2,78,33
2,79,127
2,81,278
2,83,107
2,84,37
2,85,382
2,86,347
2,87,37
2,88,252
2,89,358
2,91,42
2,92,328
2,93,221
2,95,32
2,96,348
2,98,305
2,99,295
2,100,58
2,101,218
2,102,355
2,103,187
2,104,209
2,106,396
2,107,56
2,111,256
2,114,202
2,115,306
2,116,363
2,117,355
2,118,155
2,119,273
2,121,258
2,122,108
2,123,252
2,124,112
2,125,256
2,127,142
2,128,170
2,129,218
2,132,324
2,133,98
2,135,337
2,138,260
2,139,154
2,141,191
2,143,161
2,145,78
2,146,92
2,147,70
2,148,11
2,150,267
2,152,94
2,155,346
2,157,144
2,158,282
2,160,92
2,161,160
2,162,26
2,164,7
2,165,172
2,166,65
2,167,187
2,169,5
2,170,310
2,171,144
2,172,156
2,173,53
2,174,330
2,176,47
2,178,370
2,179,396
2,180,383
2,181,94
2,183,255
2,185,299
2,186,21
2,187,92
2,189,349
2,190,255
2,192,103
2,193,121
2,194,368
2,196,52
2,197,66
2,198,283
2,200,181
3,1,236
3,2,277
3,4,47
3,6,326
3,7,365
3,8,46
3,10,47
3,11,376
3,15,239
3,16,78
3,17,138
3,18,14
3,19,396
3,21,215
3,22,230
3,23,133
3,24,160
3,26,127
3,27,375
3,28,174
3,29,167
3,30,175
3,31,239
3,32,232
3,33,254
3,39,103
3,40,230
3,41,346
3,44,359
3,46,62
3,47,180
3,48,91
3,49,342
3,50,300
3,53,330
3,55,22
3,56,267
3,57,341
3,58,131
3,59,111
3,60,7
3,62,180
3,63,99
3,65,353
3,66,35
3,68,262
3,69,79
3,70,21
3,72,7
3,73,86
3,75,302
3,76,126
3,77,129
3,78,6
3,81,20
3,82,220
3,83,132
3,84,225
3,85,375
3,88,303
3,89,110
3,92,56
3,94,321
3,96,14
3,97,400
3,98,205
3,99,10
3,100,257
3,101,110
3,103,233
3,104,198
3,105,255
3,106,383
3,107,1
3,108,381
3,109,295
3,110,362
3,111,105
3,112,382
3,114,87
3,117,89
3,119,378
3,120,156
3,121,216
3,122,355
3,123,292
3,125,73
3,126,248
3,127,179
3,128,274
3,129,232
3,130,387
3,131,4
3,132,303
3,133,348
3,135,119
3,136,363
3,137,326
3,138,345
3,139,319
3,142,190
3,146,387
3,147,76
3,148,349
3,149,97
3,151,188
3,152,147
3,154,11
3,155,174
3,156,131
3,157,236
3,158,171
3,159,183
3,160,294
3,163,192
3,164,363
3,165,126
3,166,132
3,167,191
3,169,200
3,172,72
3,173,205
3,174,307
3,177,273
3,179,337
3,181,35
3,183,1
3,184,305
3,185,310
3,186,303
3,187,265
3,188,81
3,189,13
3,190,210
3,191,107
3,192,374
3,193,206
3,194,14
3,195,283
3,196,383
3,197,316
3,198,318
4,1,377
4,2,263
4,5,33
4,6,131
4,9,355
4,10,245
4,11,327
4,12,101
4,13,136
4,15,263
4,17,207
4,20,56
4,21,13
4,24,54
4,25,351
4,26,390
4,27,194
4,28,365
4,29,37
4,30,106
4,31,336
4,34,395
4,36,293
4,40,365
4,43,362
4,44,121
4,45,226
4,47,17
4,48,78
4,50,183
4,51,251
4,52,335
4,53,141
4,54,77
4,55,293
4,56,72
4,60,232
4,62,231
4,65,349
4,66,354
4,69,209
4,70,300
4,71,304
4,72,77
4,73,25
4,74,38
4,75,187
4,77,83
4,78,78
4,80,78
4,81,234
4,82,18
4,83,267
4,84,389
4,86,177
4,87,163
4,88,352
4,89,336
4,90,340
4,91,92
4,92,80
4,94,90
4,96,100
4,97,52
4,98,129
4,100,359
4,102,299
4,103,286
4,104,296
4,106,129
4,107,144
4,108,78
4,109,291
4,112,281
4,113,335
4,115,190
4,116,386
4,117,209
4,118,165
4,119,397
4,120,230
4,121,112
4,123,188
4,126,163
4,127,49
4,128,387
4,129,156
4,130,298
4,131,310
4,132,296
4,133,108
4,137,302
4,138,189
4,140,195
4,141,344
4,143,119
4,144,20
4,145,61
4,146,63
4,147,382
4,149,372
4,151,97
4,152,144
4,153,53
4,154,41
4,156,47
4,157,36
4,158,154
4,159,329
4,160,322
4,161,237
4,162,17
4,163,160
4,164,160
4,165,69
4,166,94
4,167,44
4,168,129
4,169,107
4,172,181
4,173,55
4,174,169
4,175,110
4,176,225
4,177,246
4,178,192
4,180,21
4,181,342
4,182,133
4,183,67
4,184,357
4,185,230
4,186,316
4,187,322
4,188,201
4,191,122
4,192,88
4,193,240
4,195,155
4,196,196
4,197,92
4,198,235
5,1,266
5,2,93
5,4,386
5,9,213
5,10,277
5,11,241
5,12,22
5,13,272
5,14,221
5,15,213
5,18,154
5,20,132
5,21,364
5,22,138
5,23,226
5,25,181
5,27,299
5,28,322
5,29,377
5,30,348
5,32,39
5,34,275
5,35,35
5,36,164
5,37,246
5,39,282
5,40,276
5,42,256
5,43,226
5,45,92
5,46,188
5,48,168
5,51,352
5,53,160
5,54,122
5,56,158
5,57,338
5,59,254
5,60,248
5,61,76
5,62,242
5,64,390
5,67,32
5,68,308
5,69,162
5,70,248
5,71,58
5,72,212
5,73,18
5,75,128
5,77,154
5,79,117
5,80,367
5,81,20
5,82,325
5,84,186
5,86,170
5,87,356
5,90,200
5,92,222
5,95,227
5,96,357
5,98,247
5,99,63
5,100,80
5,101,96
5,102,228
5,103,277
5,105,223
5,106,139
5,107,322
5,108,224
5,109,152
5,110,321
5,111,335
5,113,45
5,114,346
5,116,42
5,117,330
5,118,205
5,119,304
5,121,371
5,123,96
5,125,281
5,126,338
5,127,389
5,128,43
5,129,388
5,131,126
5,132,119
5,133,177
5,135,191
5,137,322
5,138,107
5,139,161
5,140,299
5,141,392
5,142,171
5,143,181
5,144,224
5,148,46
5,152,396
5,153,319
5,154,396
5,155,251
5,157,236
5,158,42
5,159,74
5,160,37
5,161,266
5,162,88
5,163,350
5,164,217
5,165,376
5,166,33
5,167,384
5,168,322
5,170,243
5,171,356
5,172,99
5,174,230
5,176,69
5,177,83
5,178,30
5,179,307
5,180,237
5,181,292
5,183,212
5,184,24
5,185,188
5,186,144
5,188,180
5,189,110
5,190,150
5,191,349
5,192,181
5,194,149
5,196,122
5,197,15
5,198,365
5,199,280
5,200,362
6,1,321
6,2,199
6,3,126
6,4,339
6,9,234
6,10,29
6,13,146
6,14,307
6,15,352
6,16,232
6,17,361
6,18,334
6,19,314
6,20,45
6,22,292
6,24,306
6,25,214
6,26,70
6,27,117
6,28,348
6,29,352
6,30,367
6,31,366
6,33,241
6,34,33
6,35,110
6,36,254
6,37,281
6,40,173
6,41,344
6,42,171
6,43,251
6,45,71
6,47,373
6,48,91
6,49,113
6,52,34
6,55,13
6,57,221
6,58,93
6,59,127
6,61,84
6,62,365
6,64,318
6,65,292
6,66,239
6,67,31
6,69,268
6,70,218
6,72,209
6,75,265
6,76,247
6,77,363
6,78,303
6,79,186
6,80,200
6,81,304
6,82,166
6,84,241
6,85,302
6,86,200
6,88,318
6,89,146
6,90,334
6,91,158
6,92,294
6,93,302
6,94,130
6,95,313
6,96,140
6,98,171
6,99,64
6,100,89
6,101,191
6,103,79
6,105,341
6,106,399
6,107,54
6,108,11
6,111,158
6,112,331
6,114,88
6,115,43
6,118,164
6,119,360
6,120,134
6,121,166
6,123,96
6,126,237
6,128,183
6,130,117
6,132,340
6,133,194
6,134,252
6,135,177
6,137,173
6,138,269
6,139,327
6,140,78
6,141,55
6,142,217
6,143,118
6,146,107
6,147,163
6,148,1
6,149,383
6,150,253
6,152,336
6,155,84
6,156,238
6,158,30
6,159,194
6,161,65
6,163,222
6,164,150
6,165,258
6,166,125
6,168,214
6,170,170
6,171,105
6,172,142
6,173,319
6,175,16
6,176,372
6,177,197
6,179,24
6,180,127
6,181,25
6,183,113
6,184,107
6,185,300
6,186,233
6,188,281
6,189,77
6,190,91
6,192,367
6,194,83
6,195,183
6,196,166
6,197,152
6,199,108
6,200,369
7,1,43
7,3,378
7,4,31
7,9,125
7,10,216
7,11,146
7,12,113
7,15,174
7,16,101
7,17,208
7,18,212
7,19,389
7,20,250
7,21,189
7,22,139
7,23,331
7,24,262
7,26,205
7,27,242
7,28,373
7,31,243
7,32,77
7,33,231
7,34,150
7,36,174
7,39,195
7,40,216
7,41,186
7,43,354
7,46,227
7,47,340
7,48,19
7,49,354
7,50,258
7,51,124
7,52,85
7,54,338
7,55,109
7,58,40
7,59,304
7,60,50
7,61,366
7,62,230
7,63,116
7,65,269
7,66,267
7,67,112
7,69,40
7,70,141
7,71,193
7,72,202
7,73,19
7,74,202
7,75,303
7,76,191
7,77,173
7,79,108
7,80,10
7,83,387
7,84,62
7,86,354
7,87,161
7,88,259
7,89,109
7,90,166
7,92,80
7,93,262
7,94,216
7,96,214
7,97,260
7,98,28
7,99,142
7,100,44
7,101,313
7,102,269
7,104,74
7,105,190
7,108,336
7,110,292
7,112,57
7,113,231
7,114,318
7,115,322
7,116,379
7,117,358
7,118,339
7,119,398
7,121,195
7,122,259
7,123,235
7,124,156
7,125,383
7,126,29
7,127,357
7,128,385
7,131,75
7,132,184
7,134,370
7,136,287
7,138,299
7,140,85
7,144,373
7,145,101
7,146,33
7,147,118
7,148,130
7,149,255
7,150,266
7,152,307
7,153,368
7,154,358
7,156,300
7,157,243
7,159,89
7,162,270
7,163,387
7,165,56
7,166,174
7,167,190
7,168,382
7,169,22
7,170,204
7,172,250
7,173,162
7,175,209
7,177,9
7,179,244
7,180,225
7,181,318
7,183,380
7,184,197
7,185,360
7,187,283
7,188,196
7,189,390
7,191,87
7,193,248
7,194,16
7,195,54
7,198,100
7,199,223
7,200,134
8,1,151
8,3,192
8,5,4
8,6,169
8,7,195
8,9,397
8,10,52
8,11,259
8,12,107
8,13,104
8,14,307
8,15,288
8,16,13
8,17,90
8,19,308
8,21,109
8,22,29
8,23,174
8,24,294
8,25,246
8,28,159
8,29,15
8,30,96
8,31,24
8,32,300
8,33,281
8,35,292
8,36,5
8,37,250
8,39,236
8,40,137
8,41,317
8,43,302
8,44,367
8,47,74
8,50,73
8,52,253
8,53,168
8,54,206
8,56,35
8,57,123
8,58,335
8,59,174
8,60,343
8,63,232
8,64,223
8,65,70
8,66,49
8,67,63
8,68,62
8,69,214
8,73,256
8,74,135
8,79,192
8,80,301
8,82,44
8,83,244
8,86,179
8,87,261
8,88,240
8,89,243
8,90,113
8,91,395
8,92,125
8,93,359
8,94,143
8,95,343
8,97,18
8,98,15
8,101,195
8,102,77
8,103,171
8,104,5
8,106,381
8,107,72
8,108,76
8,109,398
8,110,60
8,111,140
8,113,96
8,114,247
8,117,375
8,118,343
8,119,102
8,120,203
8,122,253
8,123,221
8,125,146
8,126,218
8,127,177
8,129,310
8,130,146
8,131,392
8,132,380
8,133,318
8,134,365
8,136,369
8,137,167
8,139,359
8,140,202
8,141,336
8,142,86
8,143,191
8,145,368
8,146,353
8,147,33
8,148,194
8,149,392
8,151,78
8,153,108
8,154,169
8,155,28
8,156,29
8,158,261
8,160,252
8,162,316
8,164,266
8,165,48
8,166,350
8,167,255
8,169,244
8,170,81
8,172,366
8,173,45
8,175,125
8,176,15
8,178,232
8,179,173
8,180,382
8,181,264
8,182,210
8,183,30
8,184,170
8,185,104
8,189,358
8,190,178
8,191,141
8,192,316
8,193,240
8,197,215
8,199,286
8,200,63
9,1,370
9,3,7
9,4,160
9,6,205
9,7,298
9,8,99
9,10,49
9,12,120
9,13,23
9,15,289
9,19,348
9,20,15
9,21,319
9,23,66
9,24,187
9,27,226
9,28,321
9,29,230
9,30,58
9,33,396
9,34,251
9,35,329
9,36,194
9,37,14
9,38,171
9,40,114
9,41,319
9,44,52
9,45,267
9,48,122
9,49,312
9,51,121
9,52,243
9,53,265
9,54,17
9,55,128
9,56,312
9,57,73
9,58,268
9,60,177
9,61,253
9,63,45
9,64,350
9,65,36
9,66,367
9,67,207
9,68,165
9,69,250
9,71,88
9,73,181
9,76,349
9,77,234
9,78,344
9,79,68
9,80,206
9,81,86
9,82,197
9,83,390
9,85,380
9,87,160
9,88,47
9,89,39
9,90,318
9,91,363
9,92,271
9,93,400
9,94,357
9,95,289
9,97,103
9,100,387
9,102,383
9,104,398
9,105,91
9,107,392
9,109,258
9,111,290
9,112,120
9,113,335
9,114,100
9,115,107
9,117,324
9,119,352
9,121,174
9,123,242
9,124,167
9,125,73
9,126,110
9,127,63
9,129,152
9,130,260
9,131,199
9,133,226
9,134,384
9,135,384
9,138,394
9,139,96
9,140,57
9,141,3
9,142,114
9,144,226
9,145,116
9,148,390
9,149,341
9,150,103
9,151,200
9,152,209
9,154,113
9,155,201
9,156,194
9,157,151
9,158,146
9,159,135
9,161,378
9,162,385
9,163,173
9,166,145
9,167,4
9,168,278
9,169,225
9,170,305
9,172,400
9,173,184
9,174,26
9,175,182
