source,target,weight
1,17,365
2,273,43
3,274,344
4,22,164
5,106,536
6,94,567
7,29,67
8,238,364
9,134,86
10,199,410
11,215,419
12,151,374
13,42,197
14,190,28
15,194,23
16,140,488
17,243,263
18,227,400
19,97,88
20,34,485
21,90,111
22,210,376
23,127,318
24,210,435
25,259,338
26,253,352
27,82,324
28,189,549
29,201,214
30,49,86
31,245,408
32,166,396
33,66,147
34,153,404
35,59,455
36,25,51
37,30,288
38,155,553
39,241,406
40,5,35
41,291,269
42,146,542
43,123,281
44,173,281
45,283,38
46,30,322
47,224,176
48,259,363
49,241,327
50,12,486
51,277,437
52,209,63
53,204,498
54,190,370
55,266,391
56,182,356
57,198,418
58,212,518
59,245,346
60,167,263
61,235,460
62,229,33
63,156,437
64,295,496
65,255,489
66,235,310
67,251,523
68,86,42
69,184,69
70,15,369
71,69,162
72,123,358
73,165,11
74,42,255
75,203,431
76,286,488
77,276,158
78,155,124
79,148,320
80,250,544
81,253,361
82,10,530
83,227,416
84,184,82
85,33,401
86,282,153
87,86,23
88,167,311
89,64,342
90,112,393
91,225,400
92,242,91
93,247,350
94,198,593
95,174,9
96,37,101
97,271,409
98,201,204
99,251,142
100,203,161
101,104,125
102,223,119
103,203,134
104,57,233
105,259,308
106,214,532
107,16,572
108,282,488
109,248,354
110,135,538
111,286,472
112,62,438
113,100,264
114,224,443
115,147,547
116,204,135
117,108,451
118,254,325
119,37,7
120,103,251
121,36,45
122,152,201
123,120,253
124,252,439
125,134,594
126,54,47
127,177,364
128,98,307
129,25,61
130,11,392
131,48,361
132,181,435
133,114,49
134,40,426
135,119,73
136,276,238
137,10,56
138,218,55
139,188,265
140,163,249
141,117,64
142,28,102
143,11,462
144,154,469
145,17,441
146,242,417
147,257,102
148,96,37
149,13,32
150,59,102
151,83,253
152,184,313
153,15,151
154,48,447
155,45,321
156,223,101
157,139,290
158,43,553
159,27,527
160,200,131
161,9,380
162,13,488
163,187,474
164,239,565
165,122,80
166,41,530
167,173,51
168,231,436
169,244,272
170,231,455
171,122,84
172,208,524
173,57,442
174,5,72
175,106,540
176,242,277
177,288,189
178,1,597
179,158,103
180,104,484
181,49,145
182,64,549
183,206,491
184,253,447
185,180,500
186,1,522
187,28,140
188,227,221
189,226,518
190,32,393
191,135,72
192,83,204
193,135,318
194,168,431
195,129,563
196,114,72
197,289,178
198,222,591
199,74,53
200,255,67
201,31,219
202,243,413
203,75,191
204,118,176
205,287,559
206,258,414
207,243,74
208,22,519
209,18,517
210,56,574
211,1,288
212,124,188
213,98,404
214,222,417
215,208,400
216,203,559
217,63,149
218,26,562
219,50,494
220,122,53
221,175,4
222,266,295
223,197,521
224,297,374
225,64,444
226,155,570
227,281,292
228,256,597
229,222,352
230,123,450
231,12,149
232,166,164
233,129,546
234,64,592
235,49,193
236,7,325
237,12,135
238,223,218
239,74,142
240,275,233
241,157,352
242,275,492
243,286,112
244,33,213
245,162,379
246,67,538
247,168,173
248,109,232
249,212,137
250,23,191
251,109,184
252,214,143
253,114,430
254,11,569
255,258,17
256,52,73
257,238,308
258,2,107
259,172,571
260,171,459
261,13,56
262,41,129
263,161,325
264,230,565
265,278,283
266,149,40
267,138,251
268,41,203
269,118,42
270,25,187
271,104,346
272,28,445
273,275,7
274,246,543
275,266,47
276,258,472
277,57,518
278,85,128
279,22,320
280,163,571
281,91,352
282,240,281
283,119,129
284,226,114
285,56,291
286,113,145
287,245,449
288,267,350
289,87,248
290,58,592
291,208,234
292,10,563
293,170,36
294,19,70
295,181,53
296,266,136
297,100,312
298,75,253
299,209,339
300,35,195
